"stock_code","corp_code","company_name","induty_code"
"005680","00127200","삼영전자공업","26291"
"005690","00145163","파미셀","262"
"005710","00111874","대원산업","303"
"005720","00167192","넥센","221"
"005740","00153126","크라운해태홀딩스","64992"
"005750","00109754","대림바스","23222"
"005760","00165200","위너스인프라인","1419"
"005800","00136624","신영와코루","14120"
"005810","00155531","풍산홀딩스","64992"
"005820","00143794","원림","13225"
"005830","00159102","DB손해보험","65121"
"005850","00125521","에스엘","303"
"005860","00162911","한일사료","109"
"005870","00111421","휴니드테크놀러지스","2642"
"005880","00113535","대한해운","50112"
"005890","00162142","동원증권","66121"
"005900","00117072","동양건설산업","41221"
"005930","00126380","삼성전자","264"
"005940","00120182","NH투자증권","66121"
"005950","00145552","이수화학","20111"
"005960","00115612","동부건설","412"
"005980","00133238","성지건설","41221"
"005990","00120924","매일홀딩스","104"
"006040","00118026","동원산업","64992"
"006050","00104537","국영지앤엠","231"
"006060","00166227","화승인더스트리","46800"
"006070","00106508","기린","10602"
"006090","00141875","사조오양","102"
"006110","00126779","삼아알미늄","24222"
"006120","00131832","SK디스커버리","64992"
"006140","00155735","피제이전자","27112"
"006150","00136217","한메엔에스","2622"
"006200","00159254","한국전자홀딩스","64992"
"006210","00142698","휴리프","26"
"006220","00148832","제주은행","64121"
"006250","00105165","극동전선","28302"
"006260","00105952","LS","64992"
"006280","00129679","녹십자","212"
"006340","00260392","대원전선","28302"
"006350","00147295","전북은행","64121"
"006360","00120030","GS건설","4111"
"006370","00108977","대구백화점","47111"
"006380","00159810","카프로","20119"
"006390","00164672","한일현대시멘트","23311"
"006400","00126362","삼성SDI","28202"
"006440","00162780","한일건설","4111"
"006490","00122825","인스코비","612"
"006570","00109824","대림통상","25993"
"006580","00111227","대양제지공업","1710"
"006600","00116499","동신제약","21212"
"006620","00114686","동구바이오제약","212"
"006650","00260383","대한유화","20111"
"006660","00126201","삼성공조","30399"
"006730","00130383","서부T&D","551"
"006740","00141404","블루산업개발","172"
"006750","00101992","센추리","29172"
"006800","00111722","미래에셋증권","66121"
